# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 586  of event 'cycles'
# Event count (approx.): 620220825
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.16%  node     [kernel.kallsyms]    [k] check_preempt_curr
     0.16%  node     [kernel.kallsyms]    [k] cgroup_throttle_swaprate
     0.16%  node     libc-2.31.so         [.] _int_malloc
     0.16%  node     [kernel.kallsyms]    [k] __ext4_journal_get_write_access
     0.16%  node     libc-2.31.so         [.] _itoa_word
     0.16%  node     libc-2.31.so         [.] _IO_default_xsputn
     0.16%  node     node                 [.] disasm::DisassemblerX64::JumpConditional
     0.15%  node     node                 [.] v8::internal::SerializerDeserializer::Iterate
     0.15%  node     node                 [.] v8::internal::Isolate::CurrentEmbeddedBlob
     0.15%  node     [kernel.kallsyms]    [k] iov_iter_fault_in_readable
     0.14%  node     node                 [.] v8::internal::compiler::LiveRangeConnector::ResolveControlFlow
     0.14%  node     node                 [.] v8::internal::compiler::LinearScanAllocator::FindFreeRegistersForRange
     0.14%  node     [kernel.kallsyms]    [k] mm_update_next_owner
     0.14%  node     node                 [.] v8::internal::compiler::Scheduler::ScheduleLate
     0.13%  node     node                 [.] v8::internal::compiler::SelectLowering::Reduce
     0.09%  node     node                 [.] v8::internal::compiler::NodeProperties::HashCode
     0.07%  node     [kernel.kallsyms]    [k] find_vma
     0.04%  node     libstdc++.so.6.0.28  [.] 0x000000000009af40
     0.02%  node     node                 [.] std::_Hashtable<std::string, std::pair<std::string const, std::vector<std::string, std::allocator<std::string> > >, std::allocator<std::pair<std::string const, std::vector<std::string, std::allocator<std::string> > > >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_find_before_node
     0.01%  node     [kernel.kallsyms]    [k] native_write_msr
     0.01%  node     node                 [.] std::vector<std::string, std::allocator<std::string> >::push_back
     0.00%  node     [kernel.kallsyms]    [k] raise_softirq
     0.00%  perf     [kernel.kallsyms]    [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
