# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2397426646
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.05%  node     node                 [.] std::_Hashtable<node::CleanupHookCallback, node::CleanupHookCallback, std::allocator<node::CleanupHookCallback>, std::__detail::_Identity, node::CleanupHookCallback::Equal, node::CleanupHookCallback::Hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_erase
     0.05%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseBlock
     0.05%  node     node                 [.] v8::internal::Heap::AllocateRawWith<(v8::internal::Heap::AllocationRetryMode)1>
     0.05%  node     node                 [.] v8::internal::interpreter::BytecodeArrayBuilder::CallProperty
     0.05%  node     libstdc++.so.6.0.28  [.] std::string::_M_mutate
     0.05%  node     node                 [.] v8::internal::JSObject::OptimizeAsPrototype
     0.05%  node     node                 [.] v8::base::TemplateHashMapImpl<unsigned long, v8::internal::SerializerReference, v8::base::KeyEqualityMatcher<long>, v8::base::DefaultAllocationPolicy>::LookupOrInsert<v8::base::TemplateHashMapImpl<unsigned long, v8::internal::SerializerReference, v8::base::KeyEqualityMatcher<long>, v8::base::DefaultAllocationPolicy>::LookupOrInsert(unsigned long const&, unsigned int, v8::base::DefaultAllocationPolicy)::{lambda()#1}>
     0.05%  node     node                 [.] v8::internal::ParserBase<v8::internal::Parser>::ParseAssignmentExpressionCoverGrammar
     0.05%  node     node                 [.] v8::internal::CodeSerializer::SerializeObject
     0.05%  node     node                 [.] v8::internal::LookupIterator::NextInternal<false>
     0.05%  node     node                 [.] v8::internal::Serializer::ObjectSerializer::SerializeContent
     0.05%  node     node                 [.] v8::internal::FactoryBase<v8::internal::Factory>::NewSharedFunctionInfo
     0.04%  node     libc-2.31.so         [.] _int_malloc
     0.04%  node     node                 [.] v8::internal::ParserBase<v8::internal::Parser>::ParseLeftHandSideContinuation
     0.04%  node     node                 [.] Builtins_KeyedStoreIC_Megamorphic
     0.04%  node     node                 [.] v8::internal::Logger::CodeCreateEvent
     0.04%  node     node                 [.] v8::internal::(anonymous namespace)::AddDescriptorsByTemplate
     0.04%  node     node                 [.] v8::internal::ParserBase<v8::internal::Parser>::ParseLogicalExpression
     0.04%  node     [kernel.kallsyms]    [k] uncharge_page
     0.04%  node     libstdc++.so.6.0.28  [.] std::string::_S_construct<char const*>
     0.04%  node     node                 [.] v8::internal::ScopedList<v8::internal::Expression*, void*>::CopyTo
